Name,Link,Phone No,Contact Address
QuadLabs Technologies Private Limited,http://www.quadlabs.com,+971 558832556  (p),"111, OUD Metha Offices Behind City Bank Building, Near Wafi Mall Dubai Dubai United Arab Emirates"
Queen Centre Arjaan By Rotana,https://www.rotana.com/arjaanhotelapartments/syria/damascus/queencentrearjaanbyrotana,+963 116664003  (p) +963 116664002  (f),"Mazze Highway, Queen Centre P.O. Box 36246 Damascus 36246 Syrian Arab Republic"
Queens Tandoor PT. ,http://bali.queenstandoor.com/,+62 361 732770  (p) +62 361 732771  (f),"Jl. Raya Seminyak 73 A Kuta Badung, Bali Indonesia"
R Hotels Group,http://www.rhotels.ae,+971 67455555  (p) +971 67476666  (f),"R Holding Office Ground Floor - Sheik Khalifa Bin Zayed Street, Opp Ajman Bank Ajman United Arab Emirates"
Radisson Blu,http://www.radissonblu.com,+971 26562000  (p),P.O. Box 93725 Abu Dhabi United Arab Emirates
"Radisson Blu 1835 Hotel & Thalasso, Cannes",http://www.radissonblu.com,+33 492 99 73 20  (p),"2, boulevard Jean Hilbert Cannes Aquitaine 6414 France"
Radisson Blu Bosphorus Hotel Istanbul,https://www.radissonblu.com/en/hotel-istanbul,+90 212 310 1500  (p) +90 212 310 1515  (f),Yildiz Mahallesi Ciragan Caddesi No 46 Ortakoy Istanbul 34349 Turkey
Radisson Blu Hotel - Istanbul Sisli,http://www.radissonblu.com/hotel-istanbul-sisli,+90 902123750000  (p) +90 902123750055  (f),19 Mayis Cad. No:2 Sisli 34360 Istanbul 34360 Turkey
Radisson Blu Hotel at Disneyland Paris,http://www.radissonblu.com,+33 (1) 60436400  (p),40 Allée de la Mare Houleuse Paris 77700 France
Radisson Blu Hotel Dubai Downtown,http://www.radissonblu.com,+971 (4) 4502000  (p),Downtown Dubai Dubai 115138 United Arab Emirates
Radisson Blu Hotel Hamburg ,http://www.radissonblu.com/hotel-hamburg,+49 4035020  (p) +49 4035023530  (f),Marseiller Strasse 2 Hamburg Germany
Radisson Blu Hotel Istanbul Atakoy,https://www.radissonblu.com/en/hotel-istanbul-atakoy,+90 2129394500  (p) +90 2129394515  (f),Kazlicesme Mahallesi Abay Caddesi No 223/A Istanbul Turkey
Radisson BLU Hotel Kuwait,http://www.radissonblu.com/hotel-kuwait,+965 25673000  (p) +965 25750155  (f),PO Box 26199 Al Ta'awn Street Al Bida'a Road Safat Salwa 13122 Kuwait
Radisson Blu Hotel Muscat,https://www.radissonblu.com/en/hotel-muscat,+968 968 244 87 777 Ext: 3312  (p),Al Kuleiah Street Al Khuwair P.O.Box 939 MUSCAT 133 Oman
Radisson Blu Hotel Waterfront Cape Town,http://www.radissonblu.com/hotel-capetown,+27 214413000  (p),"Beach Road, Granger Bay, Waterfront Cape Town 8002 South Africa"
"Radisson Blu Hotel, Abu Dhabi Yas Island",http://www.radissonblu.com,+971 26562000  (p) +971 2562629  (f),"Golf Plaza, Yas Island Abu Dhabi United Arab Emirates"
"Radisson Blu Hotel, Dubai Deira Creek",https://www.radissonblu.com/en/hotel-dubaideiracreek,+971 4 2227171  (p) +971 4 228 4777  (f),"Baniyas Road, P.O.Box 476 , Deira Creek Dubai United Arab Emirates"
"Radisson Blu Hotel, Dubai Media City",http://www.radissonblu.com/hotel-mediacitydubai ,+971 43669111  (p) +971 44 3688961  (f),"Radisson Blu Hotel, Dubai Media City Dubai United Arab Emirates"
"Radisson Blu Hotel, Istanbul Pera",http://www.radissonblu.com,+90 (212) 377 2500  (p),Evliya Celebi Mah Refik Saydam Cad No 19 Tepebasi Taksim Istanbul 34430 Turkey
"Radisson BLU Hotel, Kayseri",http://www.radissonblu.com/hotel-kayseri,+90 3523155000  (p),Sivas Cd. Hunat Mh. 24/A Melikgazi Kayseri Turkey
"Radisson Blu Hotel, Lucerne",https://www.radissonblu.com/en/hotel-lucerne,+41 41 369 90 00  (p) +41 41 369 90 01  (f),Inseliquai 12 Lakefront Center Lucerne Lucerne 6005 Switzerland
"Radisson Blu Hotel, Riyadh",http://www.radissonblu.com/hotel-riyadh,+966 96614791234  (p) +966 96614787615  (f),"Al Mubarikah Plaza, King Abdul Aziz Street, Riyadh PO BOX 18006 Riyadh 11415 Saudi Arabia"
Radisson Blu Martinez Hotel Beirut,http://www.radissonblu.com/Beirut‎,+961 1 368 111  (p),Ain El Mreysseh P.O. Box 11-1267 LB-1267 Beirut Lebanon
Radisson Blu Plaza Bangkok,http://www.radissonblu.com,+66 2302 3333  (p),489 Sukhumvit Road Klongtoey Nua Wattana 10110 Bangkok Thailand Bangkok Thailand
"Radisson Blu Portman Hotel, London",http://www.radissonblu.com/en/hotel-london,+44 442072086000  (p) +44 442072086001  (f),22 Portman Square London United Kingdom
"Radisson Blu Residence, Dubai Marina",http://www.radissonblu.com,+971 97144355000  (p) +971 97144308559  (f),"Plot No. 392-260 Street K, Dubai Marina Dubai United Arab Emirates"
Radisson Blu Resort Fujairah,https://www.radissonblu.com/en/resort-fujairah,+971 9 244 9700  (p) +971 9 244 9777  (f),Dibba al Fujairah P.O. Box 12590 Fujairah United Arab Emirates
Radisson Blu Resort Sharjah,http://www.radissonblu.com/en/resort-sharjah,+971 65657777  (p) +971 65657276  (f),Corniche Street P O Box 3527 Sharjah 3527 United Arab Emirates
"Radisson Blu Resort, Sharjah",http://www.radissonblu.com/resort-sharjah,+971 65657777  (p) +971 65657276  (f),"Corniche Street, P.O. Box 3527 Sharjah United Arab Emirates P.O.Box 35 United Arab Emirates"
"Radisson Blu Resort, Sharm El-Sheikh",,"",P.O.Box 180 Nabq Naqb Sharm El-Sheikh Egypt
Raffles and Fairmont Makati,,+63 25559888  (p) +63 25559716  (f),"1 Raffles Drive, Makati Avenue Makati City Philippines"
Raffles Dubai,http://www.raffles.com/dubai,+971 97143149814  (p),Sheikh Rashid Road Wafi Center PO Box 121800 Dubai United Arab Emirates
Raffles Istanbul,http://www.raffles.com/istanbul,+90 2129240200  (p) +90 2129240202  (f),"Levazim Mahallesi Koru Sokak No:2 Zorlu Center 34340 Besiktas Istanbul,  Istanbul Turkey"
Raffles Makkah Palace,http://www.raffles.com/makkah/,+966 125717888  (p) +966 125717999  (f),"King Abdul Aziz Endowment, P.O. Box 1281 Makkah 21955 Saudi Arabia"
"Raffles Praslin, Seychelles",http://raffles.com/praslin,+248 4296000  (p) +248 4296001  (f),"Raffles Praslin Seychelles Anse Takamaka Praslin,  Praslin Seychelles"
Rail Europe / Swiss Travel System,http://www.raileurope-gcc.com/,+971 97144467595  (p),"Dubai Internet City - Rail Europ Middle East Office No. 12, Buildig No. 406 Dubai 500465 United Arab Emirates"
Rainbow Cruises,http://www.rainbowcruises.in,"",Unni's Building Avalookkunnu P.O Mammood Junction Alleppey Allepppey Kerala India
Rajah Tours Philippines,,+63 25220541  (p) +63 25212831  (f),"Suite 801, Ma. Natividad Bldg., 470 T.M. Kalaw corner Cortada Sts., Ermita Manila Philippines"
Rajah Travel Corporation,https://www.rajahtravel.com/,+63 98940886  (p) +63 98177903  (f),"3/F Gercon Plaza Bldg., 7901 Makati Ave., Makati City Philippines"
RAK Hotel,,"",Ras Al Khaimah Ras Al Khaimah United Arab Emirates
Ramada & Days Hotels Singapore at Zhongshan Park,http://ramada-dayshotelssingapore.com/,+65 6808 6806  (p) +65 6808 6909  (f),16 Ah Hood Rd Singapore 329982 Singapore
Ramada Abu Dhabi Corniche ,http://www.ramadaabudhabi.com ,+971 24019015  (p) +971 24019100  (f),P O Box 128743 Abu Dhabi United Arab Emirates
Ramada Alleppey,http://www.ramada.com/hotels/india/alappuzha/ramada-alappuzha/hotel-overview?WID=LC:RA:20150901:Rio:Local,+91 477 224 0001  (p),"Nehru Trophy Boat Race Finishing Point Stadium, Finishing Point Road, Finishing Point, Alappuzha, Kerala 688013, India Alappuzha 688013 India"
Ramada Chelsea Hotel Al Barsha ,http://www.ramadachelseadubai.com,+971 5019000  (p) +971 5019100  (f),Dubai Dubai 120257 United Arab Emirates
Ramada Chelsea Hotel Al Barsha,http://www.ramadachelseadubai.com,+971 45019111  (p) +971 45019114  (f),"First Al Khail Road,23rd street,Al Barsha 1 Dubai United Arab Emirates"
"Ramada City Centre, Manama",http://www.ramadamanama-citycentre.com/,+973 17104000  (p) +973 17104010  (f),"Building 3236, Road 4654, Block 346, Al Seef District Manama Bahrain"
Ramada Downtown Beirut,http://www.ramadalebanon.com,+961 1990299  (p) +961 1990399  (f),Chateaubriand Street Minet El Hosn 11-215 Beirut Lebanon
Ramada Hotel,,"",Ras Al Khaimah Ras Al Khaimah United Arab Emirates
Ramada Hotel & Suites Amwaj Islands / Hawthorn Suites by Wyndham Manama,http://www.ramada-manama-amwaj.com/,+973 16000099  (p) +973 16000098  (f),Bani Otbah Ave Manama Bahrain
Ramada Hotel Sharjah,http://www.ramadasharjah.com,+971 65300003  (p),P.O. Box 60553 Sharjah 60553 United Arab Emirates
Ramada Muscat Hotel,http://www.ramadamuscat.com,+968 92409914  (p),"Sarooj St Shatti Alqurum, Muscat 112 MUSCAT Oman"
Ramada Plaza Jumeirah Beach  & Ramada Sharjah,http://ramadaplazajbr.com,+971 44398888  (p) +971 44938889  (f),"Bahar 7, Gate No 4, JBR Dubai United Arab Emirates"
Ramada Plaza Milano,http://www.ramadaplazamilano.it,"",Via Stamira D'Ancona Milano Italy
Ramada Plaza Resort & Suites,http://www.michotel.com,+1 407 345 5340  (p),"6500 International Dr, Orlando Orlando, FL, 32819 United States"
Ramada Resort Dar Es Salaam,http://www.ramadaresortdar.com/,+255 222 162 333  (p) +255 22-2647996  (f),Plot 170/171 Jangwani Beach Dar Es Salaam Tanzania
Ramada Resort Dead Sea,http://www.ramada.com/hotels/jordan,+962 5 3495000  (p) +962 5 3495001  (f),Dead Sea Road Sweimeh 11194 Jordan
Ramee California ,http://www.rameehotelsbahrain.com,+973 17826001  (p) +973 17826003  (f),"Building 2421, Road 1241, block 324 Juffair Area Bahrain"
Ramee Dream Resort-  Oman,http://www.rameehotels.com,+968 24453399  (p) +968 24457030  (f),"Seeb, Seeb PO Box 594, 121 Al Seeb, Muscat Oman"
Ramee Garden Hotel Apartments-Abu Dhabi,http://www.rameehotels.com,+971 26925999  (p) +971 26412680  (f),Abu Dhabi abudhabi United Arab Emirates
Ramee Grand - Pune,http://www.rameehotelsindia.com,+91 2066846565  (p) +91 2066846508  (f),"Ramee Grand Hotel, Bapusaheb Gupte Marg, Shivajinagar, Pune, Maharashtra 411004, India Pune India"
"Ramee Grand Hotel & Spa, Bahrain",http://www.rameegrandbahrain.com,+973 17111999  (p) +973 17111998  (f),"P.0 Box 11538 Building 999, Road 2813, Block 428 Seef Seef Area 11538 Bahrain"
Ramee Group of Hotels,http://www.rameehotels.com/,+973 17 297000  (p) +973 17 310616  (f),P.O.Box 11538 Hoora Bahrain
Ramee Group of Hotels & Resorts,http://www.rameehotels.com,+971 43963888  (p) +971 43964080  (f),Dubai Dubai United Arab Emirates
Ramee Guestline Deira Hotel,http://www.rameehotels.com,+971 97142958777  (p) +971 97142958522  (f),Al Rigga Dubai United Arab Emirates
"Ramee Guestline Hotel ,  Dubai",http://www.rameehotels.com,+971 97142299111  (p) +971 97142299311  (f),"Al rigga Street,Deira,Dubai,UAE Dubai 26816 United Arab Emirates"
Ramee Guestline Hotel - Banglore ,http://www.rameehotelsindia.com,+91 8022898500  (p) +91 8022898510  (f),"Plot No. 1&2, KIADB Industrial Area, Attibele, Bengaluru, Karnataka 562107, India Banglore India"
Ramee Guestline Hotel - Dadar - Mumbai,http://www.rameehotelsindia.com,+91 2224177900  (p) +91 2224127503  (f),"Plot No. 3, Kohinoor Road, Opp. Swami Narayan Temple, Dadar East, Mumbai, Maharashtra 400014, India Mumbai India"
Ramee Guestline Hotel - Juhu - Mumbai ,http://www.rameehotelsindia.com,+91 2266935555  (p) +91 2226703344  (f),"462 A.B. Nair Road, Juhu, Mumbai, Maharashtra, 400049, India, ‏‎0044 203 564 522 Mumbai India"
Ramee Guestline Hotel - Khar - Mumbai ,http://www.rameehotelsindia.com,+91 22-61506600  (p) +91 22-22648508  (f),"757, S V Road, Mumbai, Maharashtra 400052, India Mumbai India"
Ramee Guestline Hotel - Oman,http://www.rameehotels.com,+968 24564443  (p) +968 24562464  (f),"Qurum, P.O. Box No. 594, P.C. 114, Muttrah Qurum Oman"
Ramee Guestline Hotel - Triupati,http://www.rameehotelsindia.com,+91 8772280800  (p) +91 8772281774  (f),"14-37, Karakambadi Road, Akkarampalli, Tirupati, Andhra Pradesh 517507, India Triupati India"
Ramee Guestline Hotel Apartment 2 ,http://www.rameehotels.com,+971 43553344  (p) +971 43553345  (f),Mankhool Dubai - United Arab Emirates Dubai United Arab Emirates
Ramee Hotel Apartments ,http://www.rameehotels.com,+971 43522277  (p) +971 43521888  (f),"Al Rolla Rd,Bur Dubai - Dubai - United Arab Emirates Dubai United Arab Emirates"
Ramee International Hotel ,http://www.rameehotels.com,+971 42240222  (p) +971 42240221  (f),Deira - Dubai - United Arab Emirates Dubai United Arab Emirates
Ramee Intl Hotel Bahrain,http://www.rameehotelsbahrain.com,+973 97317727230  (p) +973 97317727231  (f),"building 256. Road 40,Block 340 Juffair Bahrain"
Ramee Palace Hotel ,http://www.rameehotelsbahrain.com,+973 17811688  (p) +973 17296237  (f),"Road 22, Building 103, Block 324 Al، Manama 324 Juffair Bahrain"
Ramee Rose Hotel,http://www.rameehotelsbahrain.com,+973 17-29-6237  (p) +973 17-31-0687  (f),"Bldg No 1161, Block no 324, Road No 2420، 324 Juffair Bahrain"
Ramee Rose Hotel Apartments - Abu Dhabi ,http://www.rameehotels.com,+971 26932777  (p) +971 26932888  (f),Al Falah 9th Street - Abu Dhabi - United Arab Emirates Abu Dhabi United Arab Emirates
Ramee Rose Hotel Dubai,http://www.rameehotels.com,+971 44500111  (p) +971 44500222  (f),Al Barsha(South) TECOM - Dubai - United Arab Emirates Dubai United Arab Emirates
Ramee Royal Hotel Apartment,http://www.rameehotels.com,+971 26925333  (p) +971 26429800  (f),Hamdan Bin Mohammed St - Abu Dhabi - United Arab Emirates Abu Dhabi United Arab Emirates
Ramee Royal Hotel Dubai,http://www.rameehotels.com,+971 43344088  (p) +971 43344077  (f),Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates Dubai United Arab Emirates
Ramee Suite 3 Apartment ,http://www.rameehotels.com/ramee-suites3-apt.html,+973 17312131  (p) +973 17297331  (f),"Road 2011 BLDG 382 Hoora, Manama 11538 Juffair Bahrain"
Ramee Suite 4 Apartment,http://www.rameehotels.com/ramee-suite4.html,+973 97317811195  (p) +973 97317811196  (f),"Building no 886,Road no 4019,Block no 340 P.O.Box no 11538 Juffair Bahrain"
Ramee Suites 2 Apartments,http://www.rameehotels.com/ramee-suites-2-apartments-bahrain/city-information/169,+973 17811805  (p) +973 17811806  (f),"Building No 692, Manama ROAD NO 2411 .Juffair Bahrain"
Ramee Tours & Travels Pvt Ltd  Mumbai,http://www.rameetravels.com,+91 61560201  (p),"Ramee Tour & Travels Pvt. Ltd. 398/22 Ramee Center, Gazdhar Bandh Road, Santacruz West, Mumbai India"
Rand Hotel by Wandalus,http://www.randbywandalus.com,+966 112885000  (p) +966 112885050  (f),"Suliemaniah, Mousa bin Nossair Street P. O. Box 13041 Riyadh 11493 Saudi Arabia"
Raouche Arjaan By Rotana,https://www.rotana.com/arjaanhotelapartments/lebanon/beirut/raoucharjaanbyrotana,+961 1781111  (p) +961 1782222  (f),Chouran Street Beirut 135325 Lebanon
Ras Al Khaimah Free Trade Zone,http://www.rakftz.com,+971 7 2041111  (p) +971 7 2077120  (f),Ras Al Khaimah PO Box 10055 Ras Al Khaimah Ras Al Khaimah United Arab Emirates
Ras Al Khaimah Tourism Development Authority,http://www.raktda.com,+971 72338998  (p) +971 72338118  (f),5th Flr Rak Chamber of Commerce Bldg Al Jazah Road PO Box 29798 Ras Al Khaimah United Arab Emirates
RATEGAIN TECHNOLOGIES LIMITED,http://www.rategain.com,+44 2035141419  (p),"Devonshire House, 60 Goswell Road London EC1M 7AD United Kingdom"
Raviz Hotels & Resorts,http://www.theraviz.com ,+91 4713051234 / 9061332226  (p) +91 4712481522  (f),"Kovalam Resort Pvt Ltd, The Leela Kovalam - Kovalam, Trivandrum Kerala 695527 India"
RAXA Collective,http://www.raxacollective.com     / www.xandari.com ,+91 484 6503044  (p) +91 484 6503044  (f),"Earthern Cube Bund Road Off NH Bypass, Maradu Ernakulam, Cochin, Kerala - 682304 India"
Rayna Tourism,https://www.raynatours.com/,+971 2699900  (p) +971 2699905  (f),"205, 206 Old Labor Office Building P.O.Box No: 111306 Dubai Abu Hail United Arab Emirates"
RED APPLE TRAVEL S PTED LTD,http://www.redappletravel.com,+65 63966623  (p),08-309 THE PLAZA 7500A BEACH ROAD Singapore 199591 Singapore
Red Carnation Hotel Collection South Africa,http://www.redcarnationhotels.com/our-hotels/south-africa,+27 315145000  (p) +27 315145100  (f),The Oyster Box 2 Lighthouse Road Umhlanga Rocks Kwa Zulu Natal 4319 South Africa
Regal Plaza Hotel -Dubai,http://www.rameehotels.com,+971 97143556633  (p) +971 97143556622  (f),Al Fahidi Dubai Dubai United Arab Emirates
REGAL TRAVEL Luxury Performance in tourism,http://www.regaltravel.it,+39 0648902040  (p) +39 06483570  (f),V.le Castro Pretorio 124 rome lazio 00185 Italy
Regency Holidays,,+974 44344444  (p) +974 44478296  (f),Suhaim Bin Hamad St. Doha Qatar
Regent Beach Resort Dubai,http://www.rameehotels.com,+971 97143445777  (p) +971 97143446789  (f),Open Beach - Dubai - United Arab Emirates Dubai United Arab Emirates
Regent Palace Hotel-Dubai,http://www.rameehotels.com,+971 97143963888  (p) +971 97143964080  (f),Dubai Bur Dubai United Arab Emirates
"Regent Street, London",http://www.regentstreetonline.com,+44 2070383718  (p) +44 2070383708  (f),"Regent Street Association Room 302, Linen Hall 162-168 Regent Street London W1B 5TD United Kingdom"
REGIONE LAZIO -                       The Regional Agency of Tourism,http://www.visitlazio.com/en_GB/home,"","VIA PARIGI, 11 ROME 00185 Italy"
"Rehabilitation Center for Children and Youth ""Marzenia"" (Dreams)",http://www.rehabilitacja-marzenia.pl/,+48 669675386  (p),Niedrzwica 27 Goldap 19-500 Poland
Rehamed-Center,http://www.rehamed-center.pl/,+48 784056382  (p),Tajecina 66a Tajecina Poland
Renaissance Downtown Hotel Dubai,http://www.marriott.com/dxbbb,"",Al Abraj Street Dubai United Arab Emirates
Renaissance Istanbul Bosphorus Hotel,http://www.marriott.com/hotels/travel/istbo-renaissance-istanbul-polat-bosphorus-hotel/,+90 2123407000  (p) +90 2123407070  (f),"Barbaros Bulvari No: 145, Besiktas Istanbul 34349 Turkey"
RENAISSANCE KUALA LUMPUR HOTEL,http://www.marriott.com/hotels/travel/kulrn-renaissance-kuala-lumpur-hotel/,+60 321622233  (p) +60 321631122  (f),CORNER OF JALAN SULTAN ISMAIL & JALAN AMPANG KUALA LUMPUR Malaysia
Reollo Travel,http://www.reollo.com,+960 3346004  (p) +960 3332751  (f),"H.Thuniya Building 8th Floor, Boduthakurufaanu Magu Male' 20066 Maldives"
Resort Life Maldives Pvt. Ltd,http://www.resortlifemaldives.com,+960 3345767  (p) +960 3345766  (f),"1st Floor Noovillaage, Husnuheena Magu Male' 20116 Maldives"
RESORTS WORLD GENTING,http://www.rwgenting.com/,"",JALAN SULTAN ISMAIL KUALA LUMPUR Malaysia
Restaurant CHEZ LEON,http://www.chezleon.be,+32 2 511 14 15  (p) +32 25111415  (f),Rue des Bouchers 18 Brussels 1000 Belgium
"RezLive Thailand Co., Ltd.",http://www.rezlive.co.th/,+66 +66 2714 7590 | +66 2714 77  (p),"Office 606, The Opus Building, 139 Soi Thonglor 10, Sukhumvit, Klongtan Nua, Wattana, Bangkok 10110 Bangkok Thailand"
RezLive.com by Travel Designer Group,http://www.rezlive.com,+971 4-4565559  (p) +971 4-4206268  (f),"3402, Mazaya Business Avenue, Tower AA1, Jumeirah Lakes Towers,Po Box 634301 Dubai United Arab Emirates"
Rida International Travel & Tourism,http://www.ridaint.com.lb,+961 4718790  (p) +961 4718759  (f),"Jal El Dib Highway Al Arz Centre, 4th Floor PO Box 90 - 1477 Beirut 1477 Lebanon"
Rihab Rotana,https://www.rotana.com/rotanahotelandresorts/unitedarabemirates/dubai/rihabrotana,+971 42940300  (p) +971 42940400  (f),Al Garhoud Road P.O. Box 33871 Dubai 33871 United Arab Emirates
Rixos Bab Al Bahr,http://babalbahr.rixos.com/,+971 7 202 00 00  (p) +971 7 244 44 11  (f),Al Marjan Island Ras Al Khaimah P.O.BOX: 1 United Arab Emirates
Rixos Egypt,http://sharmelsheikh.rixos.com/overview/detail/OVERVIEW/91/42/0,+20 202 27376080 /81/82  (p) +20 202 27376085  (f),"03, Abu El Feda Street – Zamalek - Cairo Cairo Egypt"
Rixos Hotels,,"",Antalya Antalya Turkey
RIXOS HOTELS,http://www.rixos.com/,+90 212 373 99 00  (p),Taşkışla Caddesi Harbiye ANTALYA 07100 Turkey
Rixos The Palm Dubai,http://thepalmdubai.rixos.com/,+971 44575555  (p) +971 43686697  (f),"The Palm Jumeirah, Plot C40 P.O. Box: 18652 Dubai United Arab Emirates"
Rocco Forte Hotels Ltd,http://www.roccofortehotels.com,+44 2073212626  (p) +44 2073212424  (f),70 Jermyn Street London SW1Y 6NY United Kingdom
Roemer & Heigl GmbH,,+1 2234567890  (p),"104,Voltastrasse Basel Basel-Stadt 4056 Switzerland"
Romantik Hotel Schweizerhof Grindelwald,http://www.hotel-schweizerhof.com,+41 33 854 58 58  (p) +41 33 854 58 59  (f),Swiss Alp Resort 1 Grindelwald 3818 Switzerland
Romantik Hotel Schweizerhof Grindelwald,http://www.hotel-schweizerhof.com,+41 33 854 58 58  (p) +41 33 584 58 59  (f),Swiss Alp Resort 1 Grindelwald Bernese Oberland 3818 Switzerland
Romantik Hotel Wilden Mann Lucerne,http://www.wilden-mann.ch/en,+41 412101666  (p) +41 412101629  (f),Bahnhofstrasse 30 Lucerne 7 Lucerne 6000 Switzerland
Rome And Italy,http://www.romeanditaly.com,+39 0644258441  (p),"Via Giuseppe Veronese, 50 Rome 00146 Italy"
"Rome Cavalieri, Waldorf Astoria Hotels & Resorts",http://www.romecavalieri.com/,+39 0635091  (p) +39 06 3509 2241  (f),"Via Alberto Cadlolo 101, Rome, 00136, Italy Rome Italy"
"Roomers Munich, Autograph Collection",http://www.roomers-munich.com/en/,+49 69271342444  (p),Landsberger Straße 68 Munich 80339 Germany
roomsXML.com,http://www.roomsxml.com,+971 800035703630  (p),"3O-01-1625, Jumeirah Lake Towers J&G, DMCC Dubai United Arab Emirates"
Rose Rayhaan by Rotana,https://www.rotana.com/rayhaanhotelandresorts/unitedarabemirates/dubai/roserayhaanbyrotana,+971 43230111  (p) +971 43230222  (f),Sheikh Zayed Road P.O. Box 126452 Dubai 126452 United Arab Emirates
Rosen Shingle Creek,"http://www.rosenhotels,com",+1 14079963143  (p) +1 14079969935  (f),9939 Universal Blvd Orlando Florida 32819 United States
Rosewood Abu Dhabi,http://www.rosewoodhotels.com/en/abu-dhabi,+971 28135598  (p) +971 28135551  (f),"Al Maryah Island, PO Box 41184 Abu Dhabi United Arab Emirates"
Rosewood Beijing,http://www.rosewoodhotels.com/sc/beijing,+86 1065978888  (p) +86 1065973088  (f),"Jing Guang Centre, Hujialou, Chaoyang District, Beijing 100020 China"
Rosewood Hotel Group,http://www.rosewoodhotels.com,+971 43806400  (p) +971 43806401  (f),"Matloob Building, Office 218 Sheikh Zayed Rd. P.O. Box 66104 Dubai United Arab Emirates"
Rosewood Jeddah,http://www.rosewoodhotels.com/en/Jeddah,+966 122607111  (p) +966 122607222  (f),P.O. Box 48122 Jeddah 21572 Saudi Arabia
Rosewood London,http://www.rosewoodhotels.com/en/london,+44 2037478711  (p) +44 2077810888  (f),252 High Holborn London WC1V 7EN United Kingdom
Rotana Hotel Management Corporation PJSC,http://www.rotana.com,+971 26994444  (p) +971 26994445  (f),PO Box 95100 Abu Dhabi United Arab Emirates 95100 United Arab Emirates
ROVE HOTELS,http://www.rovehotels.com,+971 43673444  (p) +971 3673099  (f),"Building 3, Level 2, PO Box 9440 Emaar Square Downtown Dubai Dubai United Arab Emirates"
Rovos Rail,http://www.rovos.com,+27 12 315 8242  (p) +27 86 669 5592  (f),Transnet Street 1 Capital Park Pretoria South Africa
Royal Arabian Tours,http://www.royalarabian.com,+971 42999339  (p) +971 42999338  (f),"Dubai AW Rostamani building, office 401 Dubai United Arab Emirates"
Royal Beach Al Faqeet Hotel & Resort,http://royalbeach.ae/,+971 92449444  (p) +971 92449244  (f),Fujairah AL Faqeet 3008 United Arab Emirates
Royal Caribbean Arabia,http://www.royalcarribean.com,+971 43314299  (p) +971 43310583  (f),"City Tower 2 - South Block, 1st Floor, Office Nr. 103 Sheikh Zayed Road P.O.Box 72785 Dubai United Arab Emirates"
Royal Cliff Hotels Group,http://www.royalcliff.com,+66 38 250 421  (p) +66 38 250 141  (f),"353 Phra Tamnuk Road Pattaya, Chonburi 20150 Chonburi 20150 Thailand"
Royal Island Resort & Spa,http://www.villahotels.com,+960 3316161  (p) +960 3314565  (f),"Villa Building, Ibrahim Hassn Didi Magu, Male' Male' Maldives"
Royal Jordanian,http://www.rj.com/en,"",Amman - Fifth Circle - Jordan Amman Middle East - Jordan
Royal Maxim Palace Kempinski,http://www.kempinski.com/royalmaxim,+20 23899000  (p) +20 23899000  (f),"First Settlement, New Cairo,P.O. Box 41 Cairo Egypt"
Royal Nicolas Tours,http://www.royalnicolas.com,+971 43889997  (p),P O Box 57149 Dubai United Arab Emirates
Royal Opera House Muscat,http://www.rohmuscat.org.om,+968 2495 3651  (p),P.O. Box: 35 P.C: 103 Al Qurm MUSCAT Oman
